Jobid,BT,Resources,ArrivalTime,Priority,TimeQuantum
252,99,3,101,1,45
253,438,5,157,4,92
254,457,4,198,1,173
255,218,6,68,4,92
256,41,5,189,1,108
257,131,7,187,6,193
258,103,8,150,6,72
259,198,1,130,1,116
260,312,4,8,5,193
261,456,1,57,4,141
262,36,3,143,1,58
263,452,9,99,5,112
264,406,2,73,4,119
265,325,1,155,3,58
266,355,1,146,1,188
267,387,9,80,3,104
268,323,8,182,2,105
269,184,8,45,6,102
270,363,6,107,4,143
271,297,2,171,3,149
272,444,4,101,5,193
273,191,8,149,3,148
274,221,7,130,5,122
275,88,7,9,4,96
276,417,7,28,7,43
277,385,7,149,3,78
278,170,3,194,5,56
279,41,9,67,5,29
280,74,2,3,3,145
281,382,9,3,4,130
282,53,9,96,7,41
283,110,3,41,3,96
284,157,5,58,4,103
285,326,1,147,1,118
286,213,5,99,5,42
287,351,5,74,4,44
288,369,4,90,1,62
289,274,4,185,4,40
290,36,8,3,3,149
291,405,2,140,5,163
292,218,6,49,1,53
293,79,2,73,1,37
294,161,4,121,5,37
295,140,4,13,3,68
296,307,9,132,2,165
297,352,2,52,7,116
298,330,3,41,1,99
299,291,3,91,7,98
300,118,2,21,4,178
301,46,7,88,1,41
302,407,1,146,5,42
303,414,1,35,6,112
304,143,9,86,7,163
305,35,2,65,6,143
306,249,8,33,4,57
307,431,9,90,5,129
308,338,4,177,5,101
309,170,2,18,5,144
310,220,2,198,2,28
311,202,3,56,5,33
312,295,8,191,6,66
313,448,6,10,6,82
314,496,5,93,7,188
315,41,1,7,7,180
316,294,9,33,4,163
317,55,3,24,4,83
318,221,9,96,5,125
319,262,7,95,4,21
320,80,4,65,5,190
321,410,2,192,3,129
322,134,6,130,4,115
323,131,2,110,4,87
324,410,7,198,6,80
325,257,9,15,1,38
326,156,4,117,4,103
327,414,6,111,2,36
328,262,2,121,6,126
329,139,7,102,6,75
330,474,7,43,6,57
331,274,1,60,7,139
332,390,3,7,2,51
333,493,5,193,2,97
334,170,5,134,5,185
335,175,7,87,2,86
336,458,7,143,4,128
337,138,7,95,4,190
338,321,7,156,4,126
339,185,9,164,2,147
340,161,6,37,7,138
341,262,3,4,7,177
342,157,1,60,1,196
343,308,2,113,5,78
344,101,5,129,1,83
345,114,9,160,5,73
346,232,7,47,4,99
347,294,9,154,7,23
348,175,7,24,7,27
349,491,4,47,4,45
350,194,9,69,6,199
351,438,5,4,4,172
352,383,8,74,3,98
353,404,4,16,3,134
354,240,2,79,7,45
355,259,3,32,4,28
356,196,3,34,3,58
357,451,1,43,2,53
358,213,9,30,5,40
359,35,8,54,4,150
360,157,6,4,2,82
361,480,3,22,7,105
362,176,1,31,6,157
363,116,3,98,2,191
364,409,2,181,3,133
365,385,7,17,1,39
366,218,2,157,1,90
367,243,3,14,2,161
368,61,7,32,3,185
369,56,8,104,7,131
370,53,7,158,7,100
371,210,1,59,2,53
372,151,5,69,6,56
373,259,8,98,2,132
374,336,6,70,6,57
375,391,4,123,1,110
376,167,6,126,7,196
377,406,5,125,5,146
378,34,9,40,1,41
379,390,2,168,5,79
380,374,1,98,3,178
381,93,2,38,7,153
382,192,5,4,5,42
383,174,3,7,2,81
384,374,2,156,2,130
385,240,2,50,4,116
386,446,5,171,1,163
387,386,5,80,7,115
388,21,4,150,3,36
389,94,7,37,1,50
390,121,6,155,1,162
391,333,2,35,3,131
392,215,3,131,1,194
393,388,7,192,4,126
394,413,4,160,2,111
395,317,4,143,3,91
396,354,3,107,5,107
397,61,9,94,4,75
398,78,1,94,6,168
399,249,7,110,3,44
400,210,7,187,4,125
401,80,1,168,1,164
402,416,6,183,1,73
403,341,6,73,2,130
404,433,2,166,3,41
405,389,4,197,4,70
406,325,6,78,3,138
407,492,7,38,3,74
408,430,3,175,1,74
409,198,7,144,7,155
410,420,3,148,4,75
411,186,8,136,5,199
412,110,5,134,5,51
413,142,5,98,6,100
414,219,4,12,6,27
415,50,3,55,6,60
416,189,5,61,5,177
417,480,8,49,3,43
418,417,1,48,5,96
419,422,4,109,6,54
420,118,7,28,2,45
421,260,9,152,3,165
422,144,1,1,6,50
423,237,8,199,3,162
424,355,1,44,3,90
425,362,9,109,6,135
426,366,9,90,1,140
427,249,2,9,3,32
428,207,8,55,3,111
429,313,3,130,3,157
430,496,2,32,7,36
431,376,5,67,3,155
432,264,8,18,2,154
433,476,3,173,6,187
434,232,9,71,7,41
435,187,2,42,3,24
436,480,2,5,4,190
437,89,9,101,3,192
438,312,1,194,3,186
439,62,2,147,5,196
440,53,8,56,3,82
441,92,7,108,6,187
442,424,3,45,5,141
443,35,4,141,1,53
444,486,6,29,7,191
445,271,1,57,5,61
446,200,5,191,2,22
447,441,5,31,7,111
448,423,7,165,2,107
449,51,5,145,5,161
450,465,2,146,5,167
451,203,5,188,1,126
452,298,5,16,7,194
453,310,7,87,3,138
454,202,5,24,2,39
455,193,3,173,1,108
456,40,3,0,4,151
457,254,2,38,5,111
458,373,9,32,4,49
459,217,9,52,1,160
460,386,4,175,2,86
461,319,7,159,1,49
462,390,4,96,5,78
463,81,6,163,5,93
464,293,3,157,1,47
465,88,4,84,1,124
466,376,8,13,7,194
467,210,3,9,2,115
468,472,7,55,4,35
469,118,1,155,7,135
470,91,9,102,4,166
471,461,9,7,1,182
472,284,8,8,5,186
473,47,7,199,1,78
474,265,9,145,2,184
475,425,3,163,3,181
476,249,9,32,3,39
477,50,8,139,2,21
478,35,7,166,6,130
479,82,4,16,2,165
480,384,6,191,3,155
481,351,3,83,1,104
482,377,3,99,7,46
483,83,5,74,7,126
484,104,5,188,5,192
485,407,9,178,1,128
486,103,8,138,4,158
487,171,8,51,6,157
488,237,4,26,5,129
489,269,7,21,3,195
490,187,6,149,2,82
491,297,5,4,3,26
492,226,7,8,5,146
493,124,3,113,4,147
494,343,2,168,1,180
495,293,4,157,7,32
496,390,9,158,1,75
497,260,1,0,2,84
498,389,2,83,5,150
499,68,3,180,4,123
500,144,2,66,5,76
501,163,6,154,2,60
502,122,1,134,1,61
503,91,6,26,6,128
504,39,2,78,7,72
505,172,9,34,4,168
506,470,2,11,1,23
507,494,3,142,5,111
508,355,4,85,7,136
509,95,7,29,6,42
510,208,2,98,2,141
511,72,2,102,4,99
512,440,3,2,6,46
513,79,5,61,1,110
514,259,2,107,5,191
515,386,2,53,7,69
516,317,2,24,6,64
517,130,3,69,2,165
518,439,9,24,2,116
519,316,4,94,6,196
520,117,5,137,7,106
521,95,1,160,2,179
522,129,9,186,5,108
523,78,1,164,2,105
524,64,3,116,7,66
525,244,7,117,1,129
526,419,6,75,3,35
527,73,8,2,4,103
528,424,7,106,7,96
529,59,7,136,4,107
530,235,6,104,2,117
531,363,8,38,3,149
532,160,3,197,1,186
533,65,2,124,3,74
534,41,4,179,3,111
535,408,6,6,4,54
536,365,4,129,3,193
537,382,4,139,3,20
538,178,8,194,7,60
539,281,2,141,3,77
540,50,2,161,1,105
541,362,6,181,1,145
542,196,8,92,3,69
543,420,2,11,4,190
544,496,8,89,6,78
545,49,9,48,4,133
546,220,1,179,5,49
547,246,8,57,3,62
548,139,8,20,4,173
549,496,2,5,5,170
550,432,1,85,6,68
551,186,8,193,6,54
552,20,4,149,6,111
553,20,7,24,6,101
554,442,4,106,7,166
555,383,7,34,4,194
556,431,4,153,1,129
557,413,4,143,7,88
558,417,5,136,4,48
559,346,7,73,2,197
560,83,4,188,4,78
561,209,7,187,4,182
562,93,4,120,6,56
563,477,6,38,4,37
564,433,6,146,4,183
565,238,2,55,4,53
566,426,9,148,1,48
567,449,4,179,5,62
568,246,3,22,1,182
569,315,1,75,1,53
570,327,4,133,1,69
571,147,8,120,4,93
572,458,4,45,5,195
573,74,9,172,2,88
574,237,1,169,7,192
575,226,2,79,6,54
576,145,7,54,7,111
577,53,3,19,4,85
578,130,8,56,5,123
579,73,5,187,3,35
580,46,3,191,1,67
581,258,2,142,1,129
582,286,1,181,4,198
583,460,7,111,1,111
584,434,8,162,5,47
585,357,4,174,6,54
586,178,5,44,1,105
587,463,9,37,3,141
588,50,9,173,5,88
589,443,3,25,3,161
590,85,6,80,1,80
591,266,8,102,6,165
592,32,1,14,2,40
593,393,7,111,5,41
594,351,1,38,2,34
595,217,2,62,2,184
596,497,2,53,5,58
597,84,1,12,2,197
598,226,8,192,7,65
599,292,6,72,3,184
600,402,7,96,4,112
601,479,4,103,7,94
602,160,2,23,5,85
603,140,5,23,3,87
604,95,2,194,2,158
605,318,7,58,1,185
606,467,9,23,6,25
607,50,7,61,5,142
608,125,8,131,2,51
609,169,7,113,7,104
610,462,9,131,7,73
611,369,6,157,6,197
612,359,6,155,1,164
613,423,3,83,7,150
614,158,7,152,7,151
615,367,8,90,2,74
616,122,9,171,3,170
617,376,2,51,5,67
618,215,7,187,3,48
619,320,5,179,1,79
620,95,5,56,5,93
621,179,9,85,4,28
622,163,6,126,3,114
623,122,6,149,7,174
624,163,5,146,5,84
625,251,6,167,2,132
626,138,5,35,3,101
627,51,9,185,4,114
628,489,1,118,6,100
629,74,2,53,1,61
630,261,7,170,7,93
631,499,4,170,1,58
632,87,6,172,5,153
633,227,4,140,5,59
634,95,1,97,2,134
635,81,9,106,2,167
636,413,5,141,1,153
637,488,1,53,7,57
638,143,1,32,5,168
639,490,9,103,5,169
640,149,7,44,1,67
641,311,6,168,1,21
642,360,2,110,3,79
643,308,6,149,3,54
644,390,2,112,1,154
645,283,3,88,2,32
646,104,6,66,6,73
647,29,3,51,6,134
648,302,1,18,4,182
649,55,3,0,7,116
650,498,2,92,4,27
651,270,2,185,5,62
652,133,8,49,3,192
653,190,9,194,2,23
654,295,9,28,3,88
655,65,2,80,7,36
656,447,2,183,2,58
657,186,7,46,1,146
658,351,3,124,5,117
659,357,1,100,1,187
660,407,5,121,7,104
661,256,9,12,3,191
662,484,3,18,4,132
663,375,4,145,4,46
664,201,7,24,2,197
665,36,1,4,7,188
666,470,8,172,3,105
667,137,7,141,5,104
668,313,1,178,7,180
669,115,7,32,4,136
670,465,4,63,4,135
671,370,3,186,5,60
672,53,5,33,2,45
673,382,2,35,5,114
674,139,5,141,5,65
675,364,8,61,2,67
676,158,1,89,6,64
677,113,9,89,5,24
678,35,4,127,7,79
679,431,1,87,6,95
680,440,6,61,1,36
681,242,9,92,5,56
682,35,9,73,7,115
683,337,5,66,3,47
684,132,3,54,6,33
685,380,2,156,7,118
686,383,6,138,7,64
687,172,4,0,2,179
688,441,8,52,2,124
689,300,7,151,2,118
690,351,4,76,7,85
691,293,8,96,1,160
692,124,1,157,4,144
693,340,2,14,6,112
694,124,8,185,1,39
695,361,3,137,6,159
696,276,1,128,5,63
697,108,6,22,2,195
698,404,3,18,3,107
699,311,6,98,6,107
700,251,4,67,3,157
701,271,2,112,6,139
702,102,5,20,3,170
703,269,8,122,2,156
704,211,6,7,3,86
705,320,5,164,6,148
706,289,1,112,5,110
707,46,6,47,5,101
708,26,5,145,3,22
709,377,7,53,7,59
710,421,5,20,3,50
711,44,4,104,7,156
712,140,2,53,1,27
713,23,5,115,6,59
714,74,1,150,2,106
715,412,9,179,3,150
716,477,8,93,3,121
717,207,2,62,4,23
718,64,9,165,7,141
719,128,8,181,6,50
720,270,7,113,4,39
721,112,4,187,1,72
722,131,3,107,6,58
723,160,6,35,3,175
724,258,2,143,7,128
725,448,7,17,7,124
726,485,2,79,7,35
727,70,2,33,6,30
728,466,6,98,7,194
729,63,4,164,5,134
730,122,7,104,2,129
731,415,6,128,7,152
732,406,9,96,4,33
733,228,8,149,2,60
734,497,1,23,2,166
735,325,2,192,1,103
736,156,6,20,3,177
737,50,3,31,5,59
738,373,8,19,5,168
739,138,6,34,6,177
740,278,8,199,2,178
741,142,3,104,4,72
742,458,5,84,2,83
743,432,4,194,3,37
744,438,1,79,1,134
745,161,7,83,1,66
746,91,5,72,2,53
747,294,3,43,1,87
748,38,2,28,2,152
749,322,7,37,2,120
750,343,7,169,6,126
751,256,1,167,3,45
752,304,4,98,4,163
753,138,1,191,2,53
754,154,8,48,2,47
755,125,8,12,2,95
756,262,1,169,7,157
757,432,6,92,7,86
758,223,7,27,7,80
759,43,9,195,2,33
760,425,9,191,5,50
761,440,9,63,5,81
762,50,7,103,5,53
763,261,7,120,6,44
764,226,2,103,4,181
765,415,5,21,4,31
766,479,3,101,2,57
767,187,2,147,2,177
768,190,9,146,6,153
769,28,6,18,5,34
770,354,4,179,4,108
771,62,2,106,5,153
772,46,1,139,4,185
773,317,2,56,6,156
774,356,7,89,7,153
775,170,1,10,4,22
776,181,2,108,4,86
777,441,5,105,1,86
778,321,1,34,7,109
779,496,4,56,6,196
780,181,6,55,7,84
781,496,7,155,7,167
782,378,7,191,7,79
783,366,4,21,6,136
784,180,2,64,2,195
785,186,5,194,7,100
786,44,4,13,5,38
787,429,8,51,5,185
788,397,8,83,6,152
789,186,3,62,7,128
790,416,9,132,3,89
791,328,9,5,1,21
792,290,7,60,4,92
793,464,9,116,5,50
794,198,3,151,4,130
795,176,4,33,1,116
796,324,5,10,7,175
797,283,3,84,4,107
798,375,9,14,4,167
799,211,7,95,6,199
800,37,5,166,1,153
801,315,2,142,5,78
802,350,4,85,7,142
803,411,4,167,5,45
804,202,1,101,1,148
805,483,3,31,3,196
806,103,7,162,6,93
807,228,8,92,2,168
808,58,3,121,4,29
809,468,5,27,4,85
810,193,8,69,7,115
811,120,7,35,3,83
812,71,4,144,7,140
813,425,8,195,5,173
814,483,8,167,1,51
815,51,1,35,5,115
816,357,3,71,3,169
817,431,1,168,7,115
818,497,8,118,5,53
819,247,5,60,3,116
820,470,6,129,5,133
821,473,3,15,3,98
822,112,6,151,3,199
823,267,6,120,7,147
824,255,9,41,5,154
825,30,6,53,3,156
826,93,2,163,5,79
827,354,2,11,4,30
828,296,9,95,7,140
829,24,9,119,3,68
830,288,7,90,6,47
831,394,9,190,7,176
832,355,2,15,5,103
833,176,3,189,3,154
834,372,7,34,6,88
835,456,5,130,3,23
836,66,2,190,4,49
837,293,9,198,6,145
838,153,2,93,7,136
839,414,2,6,2,176
840,277,7,100,5,45
841,105,8,4,2,122
842,400,4,136,1,109
843,213,2,134,6,137
844,305,9,164,7,61
845,339,2,44,3,79
846,421,4,63,1,120
847,272,8,116,4,89
848,298,5,81,2,183
849,467,6,36,4,55
850,263,2,15,3,100
851,372,4,98,1,182
852,186,4,146,5,102
853,421,1,180,4,180
854,268,1,139,7,188
855,88,3,59,6,76
856,30,6,154,7,50
857,154,2,193,7,134
858,47,7,43,2,25
859,42,4,138,1,83
860,58,4,37,5,119
861,358,7,65,1,180
862,93,7,117,5,181
863,57,9,92,1,164
864,117,8,4,2,161
865,302,2,180,1,175
866,400,6,102,1,156
867,359,8,199,4,121
868,60,6,97,4,103
869,406,8,186,2,120
870,413,3,79,1,154
871,91,8,68,6,132
872,242,5,176,3,89
873,131,5,63,3,173
874,76,7,66,2,123
875,53,9,24,6,101
876,206,2,125,3,126
877,254,1,8,3,117
878,276,7,56,7,133
879,29,6,102,6,27
880,489,4,57,2,141
881,488,8,56,2,142
882,132,6,92,7,97
883,141,1,103,6,80
884,131,2,32,7,187
885,155,9,186,4,107
886,365,3,167,1,195
887,371,5,34,5,21
888,261,3,69,1,123
889,279,3,168,1,60
890,91,1,69,4,64
891,469,5,83,7,37
892,20,3,111,6,169
893,83,1,59,3,49
894,400,5,99,5,54
895,201,8,10,1,50
896,360,5,187,6,158
897,152,1,130,6,56
898,107,4,174,5,95
899,466,4,131,2,157
900,172,2,25,2,36
901,132,1,78,5,190
902,333,3,109,1,90
903,349,3,131,6,196
904,471,9,181,2,164
905,287,3,29,3,192
906,448,9,81,5,49
907,20,5,147,1,193
908,103,9,159,1,33
909,354,2,4,5,108
910,487,1,165,5,179
911,361,1,177,4,82
912,428,5,117,5,95
913,352,3,76,3,133
914,26,5,18,4,143
915,27,6,41,1,83
916,108,4,133,2,97
917,438,9,12,1,117
918,393,9,180,5,167
919,116,2,94,4,57
920,352,9,9,6,184
921,474,1,198,5,25
922,472,2,86,7,103
923,362,2,178,7,198
924,290,3,127,1,104
925,182,2,37,2,23
926,384,9,125,7,191
927,146,3,29,4,112
928,431,1,161,7,164
929,326,1,97,1,153
930,169,1,25,4,189
931,436,6,64,3,194
932,88,1,177,7,149
933,343,4,138,4,102
934,100,1,95,4,44
935,59,9,52,7,69
936,448,5,14,2,44
937,26,6,66,4,141
938,437,6,117,3,137
939,439,5,53,2,20
940,394,7,151,5,58
941,199,1,195,7,182
942,487,5,69,2,175
943,310,9,24,7,70
944,302,1,70,6,110
945,448,4,137,2,118
946,235,6,59,2,162
947,84,4,27,2,128
948,292,3,119,1,172
949,242,9,61,3,187
950,489,1,120,5,130
951,156,5,80,5,34
952,232,4,2,4,39
953,341,2,41,4,160
954,439,4,38,5,150
955,59,5,120,7,29
956,312,4,59,2,150
957,49,1,20,3,84
958,242,1,54,3,129
959,199,3,6,1,40
960,453,2,43,4,117
961,447,1,148,6,57
962,33,3,81,6,59
963,436,8,13,5,132
964,24,6,115,5,31
965,192,9,155,3,108
966,289,7,129,3,79
967,261,5,176,7,35
968,164,9,75,6,59
969,95,5,87,4,104
970,178,8,14,6,85
971,433,6,178,6,144
972,489,1,5,5,23
973,278,9,94,3,87
974,193,5,84,5,128
975,472,9,58,6,86
976,385,9,142,3,36
977,311,4,107,5,146
978,326,7,16,1,189
979,275,1,194,1,180
980,419,9,155,5,89
981,434,4,196,1,74
982,107,2,134,3,122
983,62,3,91,6,70
984,316,7,187,1,53
985,311,5,18,1,78
986,247,6,115,4,137
987,398,8,91,6,20
988,269,7,113,5,65
989,83,3,21,7,65
990,132,2,22,7,190
991,312,5,111,4,76
992,333,1,36,6,44
993,79,2,52,7,74
994,371,6,182,6,89
995,212,5,19,3,165
996,308,7,155,4,118
997,95,7,52,1,182
998,393,7,192,3,160
999,488,7,91,3,79
1000,291,9,165,3,62
1001,286,2,37,4,100
1002,418,9,4,2,21
1003,498,3,95,6,139
1004,479,5,163,1,171
1005,404,4,47,7,169
1006,119,8,39,3,45
1007,458,4,42,4,34
1008,444,6,38,3,27
1009,379,3,97,6,131
1010,209,1,180,1,196
1011,361,3,102,5,47
1012,99,6,29,7,78
1013,459,7,87,2,150
1014,76,2,58,4,109
1015,139,6,46,6,41
1016,149,6,34,3,62
1017,158,7,18,3,58
1018,409,4,163,7,54
1019,405,4,109,6,144
1020,394,6,32,1,39
1021,96,8,100,1,94
1022,180,9,103,3,163
1023,377,3,75,1,172
1024,103,5,88,3,51
1025,491,8,125,6,79
1026,458,1,48,7,78
1027,453,4,52,5,84
1028,257,8,92,7,61
1029,365,7,168,7,54
1030,147,3,171,7,128
1031,364,9,127,5,148
1032,411,4,10,4,98
1033,290,6,196,6,193
1034,119,2,26,6,54
1035,267,2,54,5,175
1036,349,5,30,7,102
1037,385,4,191,4,144
1038,361,2,157,4,27
1039,414,8,172,4,81
1040,297,1,81,4,171
1041,305,2,22,5,55
1042,41,7,54,2,144
1043,160,6,52,6,58
1044,35,4,90,5,172
1045,157,8,119,2,183
1046,407,8,186,3,133
1047,76,5,145,1,64
1048,67,1,119,6,172
1049,81,2,24,6,105
1050,340,8,184,2,33
1051,73,3,150,6,147
1052,429,8,186,1,185
1053,131,9,117,7,76
1054,21,4,188,4,126
1055,298,4,44,7,169
1056,459,9,156,4,184
1057,334,7,60,4,194
1058,371,8,167,4,95
1059,468,1,58,1,102
1060,92,8,92,2,173
1061,452,4,165,1,69
1062,181,4,173,1,140
1063,47,4,45,6,44
1064,390,7,182,2,64
1065,400,2,117,1,125
1066,193,2,86,7,87
1067,39,1,48,3,80
1068,362,5,157,1,129
1069,296,9,11,4,49
1070,451,8,12,2,98
1071,483,3,188,5,23
1072,113,5,74,1,52
1073,249,5,8,5,147
1074,282,1,7,6,192
1075,374,6,58,3,140
1076,268,8,19,4,78
1077,120,8,145,7,121
1078,324,7,188,7,31
1079,333,8,81,3,30
1080,258,3,149,1,57
1081,334,4,33,5,169
1082,221,3,56,1,55
1083,149,5,60,5,77
1084,107,6,152,1,129
1085,33,1,67,3,23
1086,381,7,89,7,117
1087,114,8,174,1,102
1088,79,8,129,2,125
1089,470,1,64,7,191
1090,435,2,126,6,197
1091,84,9,47,1,164
1092,247,4,64,6,182
1093,125,3,19,5,58
1094,433,5,132,5,167
1095,410,6,121,6,62
1096,429,6,37,5,164
1097,152,2,44,4,146
1098,184,7,182,2,74
1099,452,8,116,7,47
1100,263,8,144,1,53
1101,43,5,110,1,118
1102,412,9,30,3,28
1103,40,3,116,3,46
1104,259,2,111,3,158
1105,78,9,75,1,132
1106,235,4,68,4,182
1107,467,1,54,7,111
1108,403,8,157,7,124
1109,188,1,40,7,147
1110,33,2,77,1,41
1111,258,5,27,6,95
1112,390,1,184,1,144
1113,385,8,18,2,142
1114,55,8,166,3,57
1115,306,7,77,2,165
1116,478,6,50,6,99
1117,385,2,24,5,57
1118,437,1,177,4,42
1119,227,6,50,1,176
1120,297,7,123,5,54
1121,411,2,115,7,168
1122,275,4,6,2,78
1123,225,3,136,4,183
1124,157,7,193,4,124
1125,174,1,92,1,194
1126,462,2,114,6,151
1127,277,9,47,4,106
1128,380,1,120,4,87
1129,427,6,189,4,34
1130,34,7,144,7,119
1131,219,8,58,3,41
1132,452,7,73,3,168
1133,112,9,55,2,143
1134,434,8,114,7,68
1135,82,2,75,4,29
1136,316,1,92,7,170
1137,308,8,80,5,58
1138,431,6,161,1,74
1139,94,1,196,6,120
1140,303,6,149,1,131
1141,257,2,183,1,192
1142,161,6,116,1,171
1143,494,8,100,4,192
1144,400,9,115,1,111
1145,120,7,33,2,107
1146,61,6,53,6,154
1147,279,4,83,4,23
1148,127,9,162,5,133
